1970.1	52
1980.1	522
1997.10	28
1997.11	32
1997.3	39
1997.4	36
1997.5	32
1997.6	64
1997.7	56
1997.8	77
1997.9	72
1998.10	8
1998.11	56
1998.12	105
1998.5	1
1998.9	1
1999.1	128
1999.10	1268
1999.11	1118
1999.12	3190
1999.2	82
1999.3	95
1999.4	94
1999.5	652
1999.6	625
1999.7	828
1999.8	991
1999.9	1136
2000.1	5957
2000.10	21410
2000.11	26232
2000.12	25511
2000.2	6554
2000.3	7913
2000.4	7898
2000.5	9198
2000.6	12552
2000.7	12549
2000.8	17081
2000.9	17316
2001.1	21225
2001.10	27898
2001.11	20353
2001.12	7307
2001.2	20711
2001.3	24511
2001.4	31105
2001.5	27871
2001.6	15025
2001.7	8217
2001.8	7180
2001.9	8487
2002.1	14013
2002.2	5724
2002.3	2470
2002.4	961
2002.5	668
2002.6	697
2002.7	244
2002.9	3
